 ITEM: STEP
         2
 ITEM: DT
 0.01
 ITEM: TIME
 0.02
 ITEM: N ATOMS
       100
 ITEM: BOX CONDITION
 REFLECTIVE
 ITEM: BOX BOUNDS (CUBE)
0.000 100.000
 ITEM: X Y Z
 32.462521  3.572003 10.886028
  8.618762 95.003860 96.411751
 69.266945 31.080198 27.071049
 44.827312 82.846741 81.507133
 17.011984 32.131981 67.134682
 68.068748 61.279148 17.714872
 26.507637 69.948524 54.815815
 29.097982 88.015442 61.714985
 93.632431 99.334137 52.787029
 46.991020 90.896820  2.485986
 92.330238 43.893856 97.786179
 20.088377 65.684593 92.612114
 48.177853 58.784603 50.271683
 88.574379 93.027344 85.585312
 21.625061 28.402468 32.176487
 82.193199 33.187809 65.247650
 52.029915 12.877090 43.323128
 80.140221 54.037933 88.279083
  7.516492 88.849960 27.006916
 60.850025 95.557770 44.605335
 82.477432 58.314075 56.038033
 65.857758 85.817924 49.424541
 23.847322 87.597069 28.932894
 79.412544 45.230331 65.018005
 66.243073 23.659174 14.303371
 25.516993 19.589878 23.711473
 83.201584 48.944122 90.363503
 79.246475 60.902187  9.043431
 66.876785 38.055016 95.965050
 91.959496 23.986567 48.576702
 21.146429 92.541412 45.056080
 53.619045 32.381084 66.535294
 93.905182 44.313095 20.140142
 38.412903 23.033035 94.267113
 79.726601 68.124283 61.177795
 78.864502 19.682236 24.228870
 66.763329 85.591873 24.820715
 68.710495 73.098488 78.607170
 31.663757 78.668182 86.052170
 75.196198 28.907618 68.216492
 22.051905 31.152893 84.637794
 59.993805  0.675175 34.767723
 89.612549 43.315746 77.755432
 42.820477 74.561569 88.634323
 28.230564 35.729965 50.276215
 77.730263 76.537247 99.445847
 57.991531 80.029938 86.745750
 15.579044 56.637104 63.171246
  1.191508 75.845840 13.104439
  5.837512 37.595867 92.106537
 71.136070 22.817049 31.488525
 23.302692 91.511108 64.704651
 50.632381 83.309807 60.889404
  7.329046 62.947334 81.343933
 47.848129 74.433929 81.952599
 31.657297 94.640953 29.851782
 51.676472 71.323502 50.286835
 85.133347 46.557877 72.854813
  6.867566  2.095697 16.817749
 57.173943 22.298058 59.496723
 30.768068 82.729561  5.677879
 45.660744 96.068726 68.606400
 36.240894 89.895592  2.265788
 97.416580 46.385937 96.549858
 76.655518 45.688122 35.465263
 98.348419  0.018964 23.056210
 66.359764  5.682896 91.314545
 20.417379 32.728813  9.152320
 12.430416 29.638321 71.529449
 74.115456 83.991249 37.837685
 12.917433 20.121597 45.322964
 82.277077 22.510912 36.909180
 71.006416 62.834763 89.185135
 36.055637 17.920464 29.040192
 97.765213 44.313538 38.124489
 64.439888 22.218781  3.435886
 72.573326 77.177063 65.381310
 77.523560 50.791241 85.222473
 59.545975 80.736580 15.494877
 78.377296 20.135221 30.839901
 16.121874 82.186157 36.227085
 15.373897 48.445049 49.968399
 89.539505 31.697668 85.006943
 65.327080 59.620029 32.172020
 31.228729 72.592354 37.062527
 66.873703 43.719158 52.366745
 23.648510 81.607094  4.609252
 47.239521 73.580360 58.519512
 11.507580 79.243004 34.182518
 97.604469 25.750753  3.732336
 39.708347 21.559740 39.748882
 56.326412 64.733635 52.504364
 74.929390 42.731667 44.278561
 75.403534 21.025730 16.283316
  1.243186 31.973251 11.476201
 54.138378 33.852173 84.405060
 51.849155 74.087433 94.627205
 76.069473 46.729046 46.189087
 82.433022 99.951607 44.297421
 48.029533 90.507004 73.714027
