 ITEM: STEP
        99
 ITEM: DT
 0.01
 ITEM: TIME
 0.99
 ITEM: N ATOMS
       100
 ITEM: BOX CONDITION
 REFLECTIVE
 ITEM: BOX BOUNDS (CUBE)
0.000 100.000
 ITEM: X Y Z
  6.732778 38.365913 94.330276
 76.882011 84.923019 99.418961
 26.972542 79.772621 79.196083
 14.082368 21.364130 83.349861
  0.882753 99.469101 99.502251
 23.914934 55.629326 58.208260
 14.883638 16.703070 99.524933
 60.959301 53.075935 99.488350
 97.749641 99.359230 98.305389
  9.397896 94.321396 19.084024
 96.598083 21.414541 98.299629
 18.569298 89.099594 99.925507
 33.065033 82.479523 27.327913
 97.487839 86.520958 99.702721
 13.467999 22.461094 37.323174
 51.296211 58.390995 81.106949
 85.113029 59.765869 93.234406
 30.172966 93.090523 94.901802
 96.443138 92.448830 27.396738
 50.741528 97.159943 99.872375
 99.264763 61.690044 85.343323
 51.333466 59.517982 59.702003
 73.068573 53.665802 99.908249
 47.889847 67.760498 99.520584
 26.158195 59.638615 34.339520
 54.136196 33.101715 93.256287
 53.143120 93.992744 99.678917
 77.746185 19.102167 95.847794
 93.627434 31.057890 99.508675
 88.877182 20.525717 58.134464
 76.062714 11.939276 99.794922
 83.581009 50.241226 92.675385
 79.974709 14.250504 59.178219
 33.171490 83.563057 95.437874
 10.128286 81.650291 99.710320
 76.982559 21.772108 81.545868
 30.373871 97.121872 83.441162
 80.504036 72.177780 99.701431
 36.119297 56.463074 99.809258
 43.559006 14.987477 99.668533
 57.675632 35.252811 96.083427
 78.717247  8.841485 99.475555
 14.147369 99.625534 99.401848
 73.043915 45.546379 88.800095
 65.847374 12.651452 87.925720
  5.649012 83.155602 98.597786
 63.197445 78.138664 99.866013
 13.493590 82.082214 99.981720
 84.413696  0.145350 99.897263
 96.657654 40.314331  3.126533
 13.526779 60.601063 96.469650
 39.940674 49.567101 99.679893
 39.831738 61.056431 99.593758
 26.758070 86.677414 99.322639
 86.516724 87.914360 99.003151
 50.048943 64.124130 68.203789
 90.873451  7.059387 98.623795
 59.692841 68.211334 93.128517
 11.034795 16.862404 33.544388
  5.324490  4.041647 61.400505
  6.361140 42.616287 55.218662
 78.397118 76.419128 85.600197
 22.793808  4.614657 84.329262
 32.111214 46.136253 99.310341
 92.842659 97.569931 98.850708
 78.316284 83.553665 90.923126
 78.461830 85.464058 99.877113
  3.503451 25.680079 91.681404
 56.858582 60.704563 98.135147
 27.380184 65.583954 49.913868
 92.975395 79.812927 57.718082
 17.362776 12.599134 99.703629
 22.085659 20.102966 99.710075
 66.801071 14.823164 71.609406
  6.310611 40.954445 75.365089
 23.709274 19.185680 15.502144
 35.550789 22.870131 82.362526
 71.760330  0.425368 99.442734
 22.479713  8.433560 15.663701
 61.113380 75.471336 79.947235
 13.361449  1.399891 87.313789
 20.837511 43.412670 99.798752
 63.433189 50.529751 99.885704
  8.429469 25.603271 98.292969
 25.167894 48.206619 96.657951
 84.547852 24.107059 82.028595
 22.931215 40.355682 55.926281
  4.368075  4.972673 92.799484
 29.309805 99.718452 96.533501
 46.583824 90.652328 81.165154
  2.887125  9.169836 99.941940
 25.990971 25.224495 99.181038
  0.769520 80.985146 99.816612
 14.126850 29.235651 71.985764
  9.780666 51.706570 15.391257
 98.538918 14.407720 99.931335
 84.052750 84.579140 99.653084
 86.505188 56.516186 84.597794
 20.318071 22.849930 80.461502
 28.467484 99.754051 77.093102
