200
TIME:    0.615, STEP:   615
H   30.727982   -3.320591   17.099739
H    8.912277   14.599991   40.597343
H  -20.959347   43.768539   49.256142
H   33.707634   11.688263  -26.149612
H  -10.617535   25.345413  -14.378941
H  -32.532898  -27.139885  -29.598314
H   14.488029   -0.707859   19.356331
H   22.409515   43.178764  -35.495140
H   40.608910  -14.989632  -24.396473
H  -35.201729  -14.010651  -39.441467
H   34.855621   21.361191   31.600853
H    4.134178   26.691353   47.648148
H   24.543816   33.191254  -40.985840
H  -47.267830    4.220097   48.186516
H  -48.280006    7.695072   -2.460037
H  -29.147261  -41.202374  -21.573288
H   47.039192   46.834694  -48.551537
H  -23.745472   48.075615  -17.801338
H   33.271095  -36.202713   14.720276
H    3.181465  -13.730980  -38.765823
H   12.000675   49.917610  -45.813797
H  -22.265482   38.221748  -38.537746
H  -29.947489   -7.272648  -23.992611
H   21.180872    9.113743   -3.137267
H   43.465218   40.219093  -35.683174
H   -0.828022   44.378105  -33.027634
H   19.365921   20.066879   40.206444
H   22.951248   41.254814    2.631248
H   42.117714  -30.397034   -5.855022
H  -45.191608   26.788918  -34.590317
H   -1.305180   41.779152    1.222263
H  -18.184093   23.440929   24.621269
H  -24.162018   21.517693   12.217300
H  -33.100010    1.091480   17.477798
H  -47.990089  -41.317707   -7.608307
H  -32.666115  -22.800880   11.463284
H   28.700676  -21.583254    7.506817
H  -49.463837   25.867119  -44.962120
H  -37.009686  -35.807190   22.229713
H   -9.589722   -4.114048  -39.063011
H    0.300629  -46.713123   33.192207
H   49.773834  -20.970995  -29.653370
H  -18.001896  -22.972822   37.132881
H   -2.227741   48.565636   35.764282
H   34.166718   30.513672   36.087540
H  -14.073952  -26.024986   10.874580
H   18.843277  -48.992641   21.923431
H  -24.344326   -0.017082  -35.949287
H   38.673874  -37.947853    0.719471
H  -35.784973    4.513294  -42.307465
H  -23.788225  -12.655766  -39.630318
H  -38.226192   17.211685   21.502625
H   26.973961  -28.589712   13.060727
H  -14.883648   21.105782   14.808075
H  -42.327927  -22.239130  -32.338562
H  -12.819298  -24.638355   32.748398
H   -2.853729    3.783382  -10.725254
H   10.926651   23.246506  -18.048828
H  -21.100574   19.314560   24.186035
H  -23.129166   -5.612839  -18.486738
H   -3.239338  -19.510067  -29.217928
H   17.971333    2.369033    7.666177
H   27.553001   20.715080  -33.740524
H   24.229950    1.424141   22.326996
H   16.075294   14.907509   40.892563
H  -39.227722   38.850281   17.974854
H  -37.353527  -21.094311   20.660004
H   -5.599915    2.273865   19.800018
H   35.569420   13.513573  -12.657745
H   -5.756729   17.427971   -0.055206
H   -0.438816   17.295540   26.745117
H  -28.104681  -26.284683   -6.998871
H   31.741257   17.287842  -33.483528
H   32.578651  -21.980667   29.110693
H   12.173676   16.187675  -47.019039
H   25.275169  -35.304497   -6.534081
H   -4.225140   37.227592  -14.148499
H  -37.038139   18.209602  -34.195511
H    7.602715   44.553505  -22.148281
H  -15.070576   -5.573994  -47.425453
H   42.441216  -16.900105  -14.843452
H   43.970284  -17.984726  -30.911493
H   -3.901608   10.968769  -29.259544
H  -32.609516   32.699295   32.591476
H  -35.609924   10.574627  -28.339058
H   28.172592  -34.987896  -20.816147
H   44.818306    2.083832    2.292519
H   -8.313951  -37.218880   37.717522
H   30.606857    2.430463    3.600432
H   -5.007797   44.825508  -11.000530
H  -41.918346    8.633085   -4.449808
H   -6.967510    8.775288   21.819695
H   47.504593  -11.277699  -28.479422
H  -44.843506  -35.926826   27.454956
H   25.338402  -13.528229   41.647835
H  -41.411709   22.356371  -47.017490
H   13.565804  -34.588127   43.067329
H  -27.490562   15.538559    9.466541
H  -22.660118  -10.015541    3.544296
H   17.386274   16.248161    0.244538
H   44.616005   27.651375   47.091263
H   37.182907   15.132126   -5.516891
H   20.729843  -36.546051   13.974308
H   48.051102    1.843806   39.713028
H   -1.325689  -13.141245   32.421913
H   39.591194  -48.959835  -46.819134
H   47.369545   12.417294   -4.652985
H   -5.892979   38.394485  -38.668324
H   25.413254  -12.623142   48.355034
H   32.123405  -13.941975    4.894035
H   13.158737   -8.687561    0.703602
H   40.150856   25.149628   11.392105
H  -17.367001   11.602783  -21.750242
H   -3.386105  -21.558624  -25.784857
H  -33.372208   41.640076  -35.063660
H  -40.810349  -29.254745   45.113869
H  -41.115612   14.081467   11.658859
H   -5.074547   49.220985  -19.988506
H   37.977211   37.543495  -49.420403
H   26.390137   19.958260   37.304878
H   10.435581    6.644260  -32.765316
H  -43.147564  -23.688990   29.413704
H   24.109753  -42.176102   29.665907
H  -14.733475  -35.985725  -43.791370
H  -29.922894  -24.759535  -33.074989
H   36.636333   27.362104  -19.308676
H  -24.853170    4.669434  -38.621151
H  -21.875095    7.845055    8.444469
H   12.306637  -36.197899  -22.791927
H   48.469337   -4.740143   17.036346
H   40.366272  -35.706627   38.215492
H  -38.383198    9.917332   23.582001
H   -3.262119   48.650696    7.441116
H  -49.035801   25.638578   12.304699
H   49.400826  -18.081320  -45.952511
H  -26.634377   -1.283382  -14.736103
H    1.653893    2.548565   49.782333
H    8.531654  -31.222523  -15.801193
H   26.138306   13.985813   -0.237419
H    0.542557  -47.961353  -27.789856
H   49.507957  -29.409218   32.302071
H  -46.034126   30.384865   23.311333
H  -32.147991   18.404732  -33.728752
H  -45.821781  -36.198475   16.574844
H   47.004784  -33.164223   32.699570
H   36.640320   17.229713  -47.893993
H   23.651596   -4.378075   -7.158352
H  -27.304733  -37.225033   -5.734104
H   26.732170  -41.751270   -9.942947
H   31.876957   10.915237  -37.421036
H  -35.245094   16.984077   -7.549431
H   42.093307  -27.669643  -31.338692
H   46.456078  -37.391872  -35.106319
H   26.434669   22.953621  -24.714005
